,fecha_inicial,fecha_final,año_inicial,mes_inicial,dia_inicial,año_final,mes_final,dia_final,pais,ciudad,categoria_principal,categoria,proyecto_featured,descripcion_largo,descripcion_full_largo,titulo_largo,cant_creaciones_dueño,cant_faqs,cant_imagenes,cant_videos,cant_tiers,tier_promedio,tier_max,tier_min,duracion,moneda,objetivo_monto,objetivo_ratio,title,cotizacion,moneda_igual_pais,dia_semana_inicial,dia_semana_final,weekend_inicial,weekend_final,primera_quincena_inicial,primera_quincena_final,id,monto_obtenido,monto_obtenido_porcentaje,estado,exito
0,2019-03-24,2019-04-23,2019,3,24,2019,4,23,United States,Detroit,Film & Video,Horror,0,97,1775,52,1,0,2,1,9,715.0,2500.0,10.0,30,USD,2500.0,83.3333333333333,The 2019 Sci-Fi Horror Short and Film Office Episode,1.0,1,domingo,martes,1,0,0,0,3804,2941.0,1.1764,Funding Successful,success
1,2019-04-17,2019-05-03,2019,4,17,2019,5,3,United States,Reno,Film & Video,Drama,0,133,4301,56,1,0,6,1,9,780.555555555556,5000.0,5.0,16,USD,7000.0,437.5,10 Syllables (un-con-scious / in-tox-i-ca-ted / fe-male),1.0,1,miércoles,viernes,0,0,0,1,2954,7336.0,1.048,Funding Successful,success
2,2019-01-18,2019-02-08,2019,1,18,2019,2,8,France,France,Games,Video Games,0,100,2264,54,1,0,14,1,10,213.7748,1137.1,11.370999999999999,21,EUR,15919.4,861.997606666667,"Create your Own Games with Godot, the Free Game Engine",1.1371,1,viernes,viernes,0,0,0,1,2549,36516.8294,2.2939,Funding Successful,success
3,2019-02-17,2019-03-19,2019,2,17,2019,3,19,Spain,Sant Feliu de Guíxols,Design,Architecture,0,130,6456,55,1,0,1,1,15,710.4555,4518.0,11.295,30,EUR,107302.5,4039.939125,"SantElm66 - an atelier for creative, sustainable living",1.1295,1,domingo,martes,1,0,0,0,5609,25778.5785,0.2402,Funding Unsuccessful,fail
4,2019-03-19,2019-04-18,2019,3,19,2019,4,18,United States,Tulsa,Technology,Gadgets,0,135,2700,26,1,0,14,1,6,115.833333333333,220.0,50.0,30,USD,25000.0,833.333333333333,BinkyTech's Child Reminder,1.0,1,martes,jueves,0,0,0,0,4515,221.0,0.0088,Funding Unsuccessful,fail
5,2019-02-12,2019-03-14,2019,2,12,2019,3,14,United States,Lenexa,Games,Tabletop Games,0,104,6040,53,1,6,37,1,5,50.2,125.0,1.0,30,USD,29000.0,966.666666666667,PATHOGENESIS - 2nd Edition + STD Expansion (RELAUNCH),1.0,1,martes,jueves,0,0,1,1,5421,56336.0,1.9426,Funding Successful,success
6,2019-01-06,2019-02-20,2019,1,6,2019,2,20,United States,Denver,Film & Video,Comedy,0,135,4092,48,1,0,8,1,13,273.076923076923,2000.0,15.0,45,USD,31415.0,698.111111111111,Stand-Up for Science - Real Experts. Real Funny.,1.0,1,domingo,miércoles,1,0,1,0,1396,4180.0,0.1331,Funding Unsuccessful,fail
7,2019-01-14,2019-02-13,2019,1,14,2019,2,13,Switzerland,Berne,Fashion,Ready-to-wear,0,118,9271,51,1,0,33,5,9,222.22222222222197,1000.0,10.0,30,USD,15000.0,500.0,Annaha Swimwear - Swiss Eco-Friendly Swimwear Brand,1.0,0,lunes,miércoles,0,0,1,1,1925,15325.0,1.0217,Funding Successful,success
8,2019-04-10,2019-05-03,2019,4,10,2019,5,3,Spain,Santa Cruz de Tenerife,Technology,Technology,0,63,2727,20,3,0,13,1,17,2701.98206470588,9585.025,49.6166,23,EUR,22553.0,1105.7343673913,Vizy - Got Your Back,1.12765,1,miércoles,viernes,0,0,1,1,2690,39139.60385,1.7354,Cancelled by Creator,fail
9,2019-04-01,2019-04-23,2019,4,1,2019,4,23,Spain,Santa Cruz de Tenerife,Fashion,Apparel,0,56,1357,36,1,0,11,1,9,69.47317,235.31235,5.602675,22,EUR,3921.8725,199.754336444886,"Akawbay Beachwear, Poncho and Towels",1.120535,1,lunes,martes,0,0,1,0,3803,367.53548,0.0937,Funding Unsuccessful,fail
10,2019-02-28,2019-03-18,2019,2,28,2019,3,18,United States,Nashville,Music,Music,0,75,3955,49,1,0,1,1,13,247.69230769230802,1000.0,15.0,18,USD,10000.0,555.555555555556,Be a part of the first record by Michelle Brooke!,1.0,1,jueves,lunes,0,0,0,0,5532,11895.0,1.1895,Funding Successful,success
11,2019-03-07,2019-04-06,2019,3,7,2019,4,6,United States,Philadelphia,Food,Food,0,88,0,50,1,0,11,1,7,290.714285714286,1000.0,10.0,30,USD,20000.0,666.666666666667,Green Smart Products Present: Biodegradable Straws,1.0,1,jueves,sábado,0,1,1,1,7040,1572.0,0.0786,Funding Unsuccessful,fail
12,2019-02-27,2019-04-28,2019,2,27,2019,4,28,United Kingdom,Cannock,Film & Video,Action,0,108,718,6,1,0,1,0,2,73.2446,133.172,13.3172,60,GBP,745.7632,16.5524628117333,Escape,1.33172,1,miércoles,domingo,0,1,0,0,3633,15.98064,0.0214,Funding Unsuccessful,fail
13,2019-04-01,2019-05-01,2019,4,1,2019,5,1,United States,Doylestown,Comics,Comics,1,28,3108,19,1,0,25,0,12,945.75,10000.0,1.0,30,USD,10000.0,333.33333333333303,Let's Play Volume 1,1.0,1,lunes,miércoles,0,0,1,1,2897,233720.0,23.372,Funding Successful,success
14,2019-03-30,2019-04-29,2019,3,30,2019,4,29,United States,Portland,Publishing,Fiction,1,135,4440,39,1,6,13,1,5,36.0,100.0,5.0,30,USD,500.0,16.6666666666667,Darkness Named: Diverse GameLit Trilogy,1.0,1,sábado,lunes,1,0,0,0,3327,1178.0,2.356,Funding Successful,success
15,2019-01-09,2019-03-10,2019,1,9,2019,3,10,United States,Springfield,Crafts,Embroidery,0,133,1515,51,1,0,1,0,4,46.25,75.0,15.0,60,USD,500.0,8.33333333333333,BoompaBoutique•quality handmade baby items & wears!,1.0,1,miércoles,domingo,0,1,1,1,567,271.0,0.542,Cancelled by Creator,fail
16,2019-03-10,2019-04-09,2019,3,10,2019,4,9,Germany,Rheurdt,Crafts,Woodworking,0,71,1918,44,1,0,2,1,3,34.819045,55.03655500000001,5.615975,30,EUR,1123.195,42.0522336008333,"The Flexatube, a mathematical folding puzzle",1.1231950000000002,1,domingo,martes,1,0,1,1,5181,1898.19955,1.69,Funding Successful,success
17,2019-03-04,2019-05-03,2019,3,4,2019,5,3,United States,Florence,Publishing,Poetry,0,77,1362,15,1,0,1,0,3,15.0,25.0,5.0,60,USD,2500.0,41.6666666666667,Changes in Time,1.0,1,lunes,viernes,0,0,1,1,2958,50.0,0.02,Funding Unsuccessful,fail
18,2019-02-08,2019-03-10,2019,2,8,2019,3,10,Germany,Berlin,Art,Art,1,79,4068,45,1,2,10,1,7,160.13322857142902,566.7,11.334000000000001,30,EUR,3400.2,128.459556,MetaDada 2019 - an experimental arts festival,1.1334,1,viernes,domingo,0,1,1,1,440,3690.3504,1.0853,Funding Successful,success
19,2019-01-28,2019-02-27,2019,1,28,2019,2,27,United States,Los Angeles,Games,Tabletop Games,0,74,2230,20,1,1,17,1,3,20.3333333333333,40.0,1.0,30,USD,750.0,25.0,Monster in the Woods,1.0,1,lunes,miércoles,0,0,0,0,1159,3373.0,4.4973,Funding Successful,success
20,2019-02-19,2019-03-21,2019,2,19,2019,3,21,Hong Kong,Hong Kong,Technology,Technology,0,65,1259,52,3,0,0,1,5,42.0387,63.695,25.478,30,HKD,12739.0,54.094040333333304,How to make a realistic Donald? A walkthrough course,0.12739,1,martes,jueves,0,0,0,0,5816,1.2739,0.0001,Funding Unsuccessful,fail
21,2019-02-01,2019-03-03,2019,2,1,2019,3,3,Italy,Italia,Fashion,Apparel,0,134,6576,45,1,0,31,1,11,226.620509090909,640.3904,1.1456,30,EUR,11456.0,437.466453333333,The Ultimate Cycling Skirt | From CHICLISMO°°,1.1456,1,viernes,domingo,0,1,1,1,539,3234.0288,0.2823,Funding Unsuccessful,fail
