"","fecha_inicial","fecha_final","año_inicial","mes_inicial","dia_inicial","año_final","mes_final","dia_final","pais","ciudad","categoria_principal","categoria","proyecto_featured","descripcion_largo","descripcion_full_largo","titulo_largo","cant_creaciones_dueño","cant_faqs","cant_imagenes","cant_videos","cant_tiers","tier_promedio","tier_max","tier_min","duracion","moneda","objetivo_monto","objetivo_ratio","monto_obtenido","monto_obtenido_porcentaje","estado","exito","cant_actualizaciones","cant_backers","cant_backers_tiers","cant_comentarios","backers_promedio_por_tier","aporte_promedio_por_backer","title","cotizacion","moneda_igual_pais","dia_semana_inicial","dia_semana_final","weekend_inicial","weekend_final","primera_quincena_inicial","primera_quincena_final","id"
"1",2019-04-23,2019-05-23,2019,4,23,2019,5,23,"Australia","Brisbane","Games","Playing Cards","0",123,1157,31,1,0,2,1,2,42.5,60,25,30,"USD",30000,1000,172,0.0057,"Cancelled by Creator","fail",0,4,2,3,0.4,43,"Lands of CROM Trading Card Game",1,0,"martes","jueves",0,0,0,0,1
"2",2019-03-26,2019-05-24,2019,3,26,2019,5,24,"Sweden","Gävle","Food","Food","0",132,2188,55,1,0,1,0,6,521.589608333333,2165.6617115,0.5414425,59,"SEK",21657.7,39.7505058720339,682.5424155,0.0315,"Cancelled by Creator","fail",0,9,8,0,1.33,700.33,"Pastillfabriken - nu bygger vi Gävles nygamla stolthet!",0.1082885,1,"martes","viernes",0,0,0,0,2
"3",2019-04-14,2019-05-05,2019,4,14,2019,5,5,"Germany","Munich","Food","Food","0",108,2418,47,1,0,5,1,3,338.00455,360.61355,315.39555,21,"EUR",6782.7,365.119200714286,645.48695,0.0952,"Funding Unsuccessful","fail",1,5,2,0,0.67,114.2,"Das Brett - cut it, keep it, store it, love it.",1.13045,1,"domingo","domingo",1,1,1,1,3
"4",2019-04-03,2019-06-02,2019,4,3,2019,6,2,"Canada","Montreal","Art","Performance Art","0",67,4739,25,1,0,2,1,2,30,40,20,60,"USD",8600,143.333333333333,1,1e-04,"Cancelled by Creator","fail",0,1,0,0,0,1,"Plateforme collaborative.",1,0,"miércoles","domingo",0,1,1,1,4
"5",2019-03-12,2019-05-11,2019,3,12,2019,5,11,"United Kingdom","London","Music","Music","0",104,3204,31,1,0,3,1,5,147.7588,490.35,13.076,60,"GBP",19614,427.45444,876.092,0.0447,"Cancelled by Creator","fail",0,25,17,0,3.4,26.8,"Live the story you want to tell",1.3076,1,"martes","sábado",0,1,1,1,5
"6",2019-04-12,2019-05-12,2019,4,12,2019,5,12,"United States","Long Beach","Film & Video","Comedy","0",27,1079,33,2,0,1,0,1,25,25,25,30,"USD",2200,73.3333333333333,1,5e-04,"Cancelled by Creator","fail",0,1,0,0,0,1,"Madame to take SoCal ""Residency""?",1,1,"viernes","domingo",0,1,1,1,6
"7",2019-03-18,2019-05-17,2019,3,18,2019,5,17,"United States","San Francisco","Art","Art","0",110,2138,51,1,0,1,0,2,62.5,100,25,60,"USD",3500,58.3333333333333,126,0.036,"Cancelled by Creator","fail",2,3,1,0,0.5,42,"Tarot of the Gods - A new view on an old tradition.",1,1,"lunes","viernes",0,0,0,0,7
"8",2019-04-16,2019-05-14,2019,4,16,2019,5,14,"Canada","Montreal","Design","Product Design","0",70,6008,47,1,0,1,1,7,496.142857142857,899,209,28,"USD",17000,607.142857142857,5115,0.3009,"Cancelled by Creator","fail",1,15,14,5,2,341,"The Saint Martin: What A Luxury Watch Should Be",1,0,"martes","martes",0,0,0,1,8
"9",2019-04-29,2019-05-14,2019,4,29,2019,5,14,"Ireland","Limerick","Design","Graphic Design","0",133,1763,58,2,0,1,0,7,131.823803571429,279.62625,27.962625,15,"EUR",335.5515,25.0210687005,1.118505,0.0033,"Cancelled by Creator","fail",0,1,0,0,0,1,"A Logo Reflects Your Company. Let's Make Some Great Logos.",1.118505,1,"lunes","martes",0,0,0,1,9
"10",2019-04-06,2019-05-06,2019,4,6,2019,5,6,"United States","New York","Design","Graphic Design","0",115,3747,44,1,0,1,0,4,43.25,80,16,30,"USD",1200,40,89,0.0742,"Cancelled by Creator","fail",0,4,3,0,0.75,22.25,"Top 25 Marathons Scratch Off Poster by Nomnu",1,1,"sábado","lunes",1,0,1,1,10
"11",2019-03-18,2019-05-17,2019,3,18,2019,5,17,"Germany","Cologne","Music","Pop","0",133,1407,48,1,0,1,0,3,90.6868,226.717,17.003775,60,"EUR",3400.755,64.25074761125,1.133585,3e-04,"Cancelled by Creator","fail",0,1,0,0,0,1,"Benefizkonzert SHOWTIME- from Movies to Musicals",1.133585,1,"lunes","viernes",0,0,0,0,11
"12",2019-04-06,2019-05-06,2019,4,6,2019,5,6,"Belgium","Antwerp","Crafts","Crafts","0",74,1121,55,2,2,4,1,3,318.254166666667,561.625,112.325,30,"EUR",168487.5,6308.4528125,596.44575,0.0035,"Cancelled by Creator","fail",4,2,1,0,0.33,265.5,"MR Metals is creating a new line of Steel/Wood designs.",1.12325,1,"sábado","lunes",1,0,1,1,12
"13",2019-03-07,2019-05-06,2019,3,7,2019,5,6,"United States","Peoria","Film & Video","Movie Theaters","0",52,429,33,1,0,1,1,1,500,500,500,60,"USD",75000,1250,1,0,"Cancelled by Creator","fail",0,1,0,1,0,1,"Cheat: A Broken Promise The Movie",1,1,"jueves","lunes",0,0,1,1,13
"14",2019-04-16,2019-05-06,2019,4,16,2019,5,6,"United States","Orange","Film & Video","Film & Video","0",66,6755,9,1,0,2,1,5,192,500,10,20,"USD",1000,50,1,0.001,"Cancelled by Creator","fail",0,1,0,0,0,1,"On Mommas",1,1,"martes","lunes",0,0,0,1,14
"15",2019-04-15,2019-05-06,2019,4,15,2019,5,6,"Poland","Warsaw","Games","Playing Cards","0",51,1688,26,2,0,15,3,7,207.183422142857,428.415915,10.173465,21,"EUR",20346.93,1095.23164133571,998.129955,0.0491,"Cancelled by Creator","fail",0,9,8,0,0.89,98.11,"Carbon Fiber Playing Cards",1.130385,1,"lunes","lunes",0,0,0,1,15
"16",2019-04-01,2019-05-06,2019,4,1,2019,5,6,"Australia","Sydney","Design","Design","0",75,3660,40,2,0,1,0,10,251.5,375,150,35,"USD",5000,142.857142857143,511,0.1022,"Cancelled by Creator","fail",3,3,2,0,0.2,170.33,"Amour En Fleurs - roses that last a year",1,0,"lunes","lunes",0,0,1,1,16
"17",2019-04-04,2019-05-07,2019,4,4,2019,5,7,"Singapore","Singapore","Crafts","Crafts","0",93,2220,20,1,0,19,1,4,60.5,160,2,33,"USD",5000,151.515151515152,55,0.011,"Cancelled by Creator","fail",0,2,1,0,0.25,27.5,"3-in-1 Leather Strap",1,0,"jueves","martes",0,0,1,1,17
"18",2019-04-06,2019-05-08,2019,4,6,2019,5,8,"China","Shenzhen","Publishing","Publishing","0",63,4693,26,1,0,0,1,8,32.75,75,2,32,"USD",25000,781.25,241,0.0096,"Cancelled by Creator","fail",2,6,5,4,0.62,40.17,"How to Make Money in China",1,0,"sábado","miércoles",1,0,1,1,18
"19",2019-04-06,2019-05-06,2019,4,6,2019,5,6,"United States","Los Angeles","Film & Video","Drama","0",133,347,7,2,0,1,0,9,1048.33333333333,5000,10,30,"USD",40000,1333.33333333333,6471,0.1618,"Cancelled by Creator","fail",7,96,75,0,8.33,67.41,"La Ruta",1,1,"sábado","lunes",1,0,1,1,20
"20",2019-04-17,2019-05-18,2019,4,17,2019,5,18,"United States","Provo","Music","Pop","0",127,432,36,2,0,1,0,9,311.111111111111,2000,5,31,"USD",7500,241.935483870968,61,0.0081,"Cancelled by Creator","fail",0,5,3,0,0.3,12.2,"Bunker's Debut EP: Lonely on Purpose",1,1,"miércoles","sábado",0,1,0,0,21
"21",2019-04-16,2019-05-07,2019,4,16,2019,5,7,"Germany","Frankfurt","Games","Playing Cards","0",121,8486,33,10,0,23,1,4,94.2268275,138.801195,49.65246,21,"EUR",11284.65,606.396788678571,2540.174715,0.2251,"Cancelled by Creator","fail",1,21,20,1,5,107.19,"Aventuria - Inn of the Black Boar",1.128465,1,"martes","martes",0,0,0,1,22
"22",2019-04-03,2019-05-18,2019,4,3,2019,5,18,"United Kingdom","London","Music","Classical Music","0",135,2358,56,2,0,0,1,3,122.972733333333,326.75612,13.17565,45,"GBP",2898.643,84.8700125398889,0,0,"Cancelled by Creator","fail",0,0,0,0,0,0,"I am trying to create an orchestra and I need your help!",1.317565,1,"miércoles","sábado",0,1,1,0,23
"23",2019-04-08,2019-05-18,2019,4,8,2019,5,18,"Germany","Munich","Technology","Apps","0",70,2812,39,1,0,3,1,5,155.3397,562.825,16.88475,40,"EUR",9005.2,253.4175845,119.3189,0.0132,"Cancelled by Creator","fail",1,4,2,0,0.4,26.5,"Buddyler - The butler app for everyone-",1.12565,1,"lunes","sábado",0,1,1,0,24
"24",2019-03-19,2019-05-18,2019,3,19,2019,5,18,"United States","Grand Haven","Music","Hip-Hop","0",27,468,25,1,0,1,0,4,35,100,5,60,"USD",500,8.33333333333333,1,0.002,"Cancelled by Creator","fail",0,1,0,0,0,1,"Help me up my production!",1,1,"martes","sábado",0,1,0,0,25
"25",2019-04-18,2019-05-18,2019,4,18,2019,5,18,"United States","Tupelo","Publishing","Fiction","0",99,1652,12,1,0,1,0,6,39.3333333333333,150,1,30,"USD",35000,1166.66666666667,26,7e-04,"Cancelled by Creator","fail",0,3,2,0,0.29,8.67,"Are We Okay?",1,1,"jueves","sábado",0,1,0,0,26
